date,number,latitude,longitude,tp
2017-04-01,7,34.0,127.0,0.0
2017-04-01,7,34.0,128.0,0.0
2017-04-01,7,34.0,129.0,0.0
2017-04-01,7,33.0,126.0,0.0
2017-04-01,7,33.0,127.0,0.0
2017-04-01,7,33.0,128.0,0.0
2017-04-01,7,33.0,129.0,0.0
2017-04-01,8,40.0,126.0,0.0
2017-04-01,8,40.0,127.0,0.0
2017-04-01,8,40.0,128.0,0.0
2017-04-01,8,40.0,129.0,0.0
2017-04-01,8,39.0,126.0,0.0
2017-04-01,8,39.0,127.0,0.0
2017-04-01,8,39.0,128.0,0.0
2017-04-01,8,39.0,129.0,0.0
2017-04-01,8,38.0,126.0,0.0
2017-04-01,8,38.0,127.0,0.0
2017-04-01,8,38.0,128.0,0.0
2017-04-01,8,38.0,129.0,0.16
2017-04-01,8,37.0,126.0,0.0
2017-04-01,8,37.0,127.0,0.0
2017-04-01,8,37.0,128.0,0.62
2017-04-01,8,37.0,129.0,0.78
2017-04-01,8,36.0,126.0,0.0
2017-04-01,8,36.0,127.0,0.13
2017-04-01,8,36.0,128.0,0.75
2017-04-01,8,36.0,129.0,2.18
2017-04-01,8,35.0,126.0,0.0
2017-04-01,8,35.0,127.0,0.13
2017-04-01,8,35.0,128.0,0.38
2017-04-01,8,35.0,129.0,1.8
2017-04-01,8,34.0,126.0,0.03
2017-04-01,8,34.0,127.0,0.0
2017-04-01,8,34.0,128.0,0.24
2017-04-01,8,34.0,129.0,0.27
2017-04-01,8,33.0,126.0,0.05
2017-04-01,8,33.0,127.0,0.03
2017-04-01,8,33.0,128.0,0.0
2017-04-01,8,33.0,129.0,0.03
2017-04-01,9,40.0,126.0,0.0
2017-04-01,9,40.0,127.0,0.0
2017-04-01,9,40.0,128.0,0.0
2017-04-01,9,40.0,129.0,0.0
2017-04-01,9,39.0,126.0,0.0
2017-04-01,9,39.0,127.0,0.0
2017-04-01,9,39.0,128.0,0.0
2017-04-01,9,39.0,129.0,0.0
2017-04-01,9,38.0,126.0,0.0
2017-04-01,9,38.0,127.0,0.0
2017-04-01,9,38.0,128.0,0.0
2017-04-01,9,38.0,129.0,0.0
2017-04-01,9,37.0,126.0,0.0
2017-04-01,9,37.0,127.0,0.0
2017-04-01,9,37.0,128.0,0.0
2017-04-01,9,37.0,129.0,0.0
2017-04-01,9,36.0,126.0,0.0
2017-04-01,9,36.0,127.0,0.0
2017-04-01,9,36.0,128.0,0.0
2017-04-01,9,36.0,129.0,0.13
2017-04-01,9,35.0,126.0,0.0
2017-04-01,9,35.0,127.0,0.0
2017-04-01,9,35.0,128.0,0.0
2017-04-01,9,35.0,129.0,0.13
2017-04-01,9,34.0,126.0,0.0
2017-04-01,9,34.0,127.0,0.0
2017-04-01,9,34.0,128.0,0.0
2017-04-01,9,34.0,129.0,0.0
2017-04-01,9,33.0,126.0,0.0
2017-04-01,9,33.0,127.0,0.0
2017-04-01,9,33.0,128.0,0.0
2017-04-01,9,33.0,129.0,0.0
2017-04-02,0,40.0,126.0,0.0
2017-04-02,0,40.0,127.0,0.0
2017-04-02,0,40.0,128.0,0.0
2017-04-02,0,40.0,129.0,0.0
2017-04-02,0,39.0,126.0,0.0
2017-04-02,0,39.0,127.0,0.0
2017-04-02,0,39.0,128.0,0.0
2017-04-02,0,39.0,129.0,0.0
2017-04-02,0,38.0,126.0,0.0
2017-04-02,0,38.0,127.0,0.0
2017-04-02,0,38.0,128.0,0.0
2017-04-02,0,38.0,129.0,0.19
2017-04-02,0,37.0,126.0,0.0
2017-04-02,0,37.0,127.0,0.0
2017-04-02,0,37.0,128.0,0.03
2017-04-02,0,37.0,129.0,0.19
2017-04-02,0,36.0,126.0,0.0
2017-04-02,0,36.0,127.0,0.0
2017-04-02,0,36.0,128.0,0.03
2017-04-02,0,36.0,129.0,0.43
2017-04-02,0,35.0,126.0,0.0
2017-04-02,0,35.0,127.0,0.0
2017-04-02,0,35.0,128.0,0.0
2017-04-02,0,35.0,129.0,0.4
2017-04-02,0,34.0,126.0,0.0
2017-04-02,0,34.0,127.0,0.0
2017-04-02,0,34.0,128.0,0.0
2017-04-02,0,34.0,129.0,0.0
2017-04-02,0,33.0,126.0,0.0
