date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2021-06-05,7,1.650000000000034,0.0,2.769999999999982,17.700000000000045,0.03999999999996362,0.3100000000000023,0.009999999999990905,0.0,0.0,0.12000000000000455,1.0,26.129999999999995,1.490000000000009,0.0,5.319999999999993,4.610000000000014,0.3199999999999932,7.910000000000025,0.009999999999990905,4.71999999999997,0.5500000000000114,0.060000000000002274,6.960000000000036,0.0,0.160000000000025,0.12000000000000455,0.030000000000001137,3.1299999999999955,0.5300000000000296,4.6299999999999955,0.0,0.30000000000001137,0.0,2.650000000000034,0.0,4.25,0.01999999999998181,0.10000000000002274,1.589999999999975,0.0,0.0,0.3199999999999932,2.300000000000068,0.40999999999996817,0.0,0.8599999999999852,0.0,0.0,0.05999999999994543,0.0,0.0,2.02,0.0
2021-06-06,7,5.949999999999989,0.0,0.0,0.06999999999999318,0.1400000000000432,0.029999999999972715,0.2400000000000091,0.3299999999999841,0.37999999999999545,3.7099999999999795,0.0,33.43000000000001,0.009999999999990905,0.029999999999972715,0.30000000000001137,0.5299999999999727,2.1599999999999966,4.4599999999999795,0.0,0.5900000000000318,5.979999999999961,0.0,0.589999999999975,0.0,0.009999999999990905,0.32000000000005,0.6799999999999784,0.5099999999999909,0.2899999999999636,2.4500000000000455,7.410000000000025,0.05000000000001137,0.05000000000001137,1.9499999999999318,0.0,1.1400000000000432,7.560000000000002,0.01999999999998181,3.1000000000000227,0.0,19.230000000000018,0.2300000000000182,0.6200000000000045,14.310000000000002,0.5499999999999545,0.06999999999999318,0.0,0.17000000000001592,0.0,0.5299999999999727,0.0,2.36,0.11
2021-06-07,7,0.7099999999999795,0.0,0.0,0.5,0.13999999999998636,0.20999999999997954,0.009999999999990905,6.5400000000000205,0.0,0.29000000000002046,0.030000000000001137,33.80000000000001,3.75,0.2699999999999818,0.10000000000002274,0.1400000000000432,0.020000000000010232,0.0,0.35000000000002274,3.5399999999999636,0.0,0.0,0.5300000000000296,0.13999999999998636,0.05000000000001137,4.6200000000000045,0.0,0.0,0.0,0.39999999999997726,10.67999999999995,0.18999999999999773,2.8799999999999955,6.57000000000005,0.4900000000000091,0.0,0.4900000000000091,45.83000000000004,3.569999999999993,0.060000000000002274,21.970000000000027,12.560000000000002,0.009999999999990905,0.37999999999999545,0.32000000000005,0.5,0.0,0.07999999999998408,0.12999999999999545,50.69999999999999,0.0,4.19,0.0
2021-06-08,7,2.509999999999991,1.9399999999999977,10.839999999999975,0.0,17.409999999999968,3.1000000000000227,0.09000000000003183,12.810000000000002,0.0,0.0,0.0,54.51999999999998,2.5200000000000387,0.32000000000005,0.0,0.0,0.5600000000000023,0.0,6.029999999999973,9.430000000000007,3.0,0.4199999999999875,0.13999999999998636,0.0,0.0,0.6100000000000136,0.0,0.009999999999990905,9.5,0.8400000000000318,6.409999999999968,0.009999999999990905,4.029999999999973,1.5899999999999181,1.009999999999991,0.3299999999999841,0.06999999999999318,3.7299999999999613,0.0,0.0,0.5,12.699999999999989,0.06999999999993634,0.5300000000000296,0.0,0.37000000000000455,0.049999999999954525,0.0,0.07000000000005002,27.990000000000066,0.08999999999997499,3.85,0.09
2021-06-09,7,1.0600000000000023,2.6399999999999864,8.650000000000034,0.0,22.07000000000005,5.930000000000007,0.0,0.009999999999990905,0.03999999999996362,0.0,4.089999999999975,19.230000000000018,1.2099999999999795,0.21000000000003638,0.0,0.46999999999997044,3.6399999999999864,0.0,1.6399999999999864,0.2300000000000182,0.0,0.5099999999999909,0.5699999999999932,0.0,0.0,0.009999999999990905,0.0,16.94999999999999,22.370000000000005,3.1299999999999955,0.04000000000007731,0.040000000000020464,3.410000000000025,0.5500000000000682,0.14999999999997726,2.1899999999999977,0.0,3.340000000000032,0.0,0.3100000000000023,0.9399999999999977,0.19999999999998863,0.0,0.0,0.0,0.950000000000017,0.20000000000004547,0.0,6.5499999999999545,2.7399999999998954,0.9200000000000159,2.69,0.0
2021-06-10,7,0.660000000000025,0.060000000000002274,0.4399999999999977,6.75,0.46999999999997044,0.0,2.2199999999999704,0.0,0.29000000000002046,0.3599999999999568,2.0600000000000023,0.09000000000003183,0.9900000000000091,0.0,0.060000000000002274,2.569999999999993,7.510000000000019,0.0,2.1100000000000136,0.3299999999999841,0.20000000000004547,0.21000000000000796,0.0,0.0,0.3199999999999932,-0.009999999999990905,2.3200000000000216,0.4000000000000341,85.82,1.8599999999999568,52.07999999999993,0.12000000000000455,2.3999999999999773,0.01999999999998181,0.060000000000002274,0.38999999999998636,0.05000000000001137,0.0,0.0,8.139999999999986,17.839999999999975,0.03000000000002956,0.0,0.060000000000002274,0.0,0.0,0.060000000000002274,6.82000000000005,4.32000000000005,7.160000000000082,0.7100000000000364,4.28,0.79
2021-06-11,7,0.0,0.01999999999998181,0.08999999999997499,0.0,0.0,0.18999999999999773,1.8600000000000136,22.859999999999957,0.0,0.660000000000025,0.0,0.0,0.25,0.0,0.3100000000000023,0.060000000000002274,2.2799999999999727,2.009999999999991,5.990000000000009,0.07999999999998408,5.810000000000002,0.14000000000001478,0.37000000000000455,0.0,7.689999999999998,20.6099999999999,1.3999999999999773,32.44999999999999,44.440000000000055,18.980000000000018,0.12000000000000455,19.180000000000007,0.0,1.1200000000000045,0.060000000000002274,4.1299999999999955,1.0199999999999818,0.0,0.4900000000000091,1.160000000000025,2.0400000000000205,0.009999999999990905,0.0,0.6100000000000136,0.0,0.01999999999998181,1.5,1.349999999999966,2.5599999999999454,17.569999999999936,3.1899999999999977,4.41,12.37
2021-06-12,7,0.7300000000000182,0.0,0.009999999999990905,0.05000000000001137,0.13999999999998636,0.060000000000002274,0.839999999999975,0.5500000000000682,0.0,0.2300000000000182,0.0,0.029999999999972715,8.779999999999973,0.03999999999996362,1.2999999999999545,0.0,0.0,8.730000000000018,0.14999999999997726,0.08000000000004093,0.08999999999997499,0.21999999999999886,0.5400000000000205,0.2799999999999727,15.980000000000018,4.150000000000091,1.1500000000000057,24.80000000000001,0.9599999999999227,4.689999999999998,0.0,13.329999999999984,0.0,0.049999999999954525,29.78000000000003,24.04000000000002,3.2600000000000477,4.989999999999952,0.03999999999996362,0.01999999999998181,0.009999999999990905,9.289999999999964,0.01999999999998181,5.349999999999966,0.0,0.28000000000000114,0.9699999999999704,28.970000000000027,0.0,0.11000000000001364,0.3100000000000023,3.83,0.02
2021-06-13,7,68.23999999999995,0.0,0.03000000000002956,2.419999999999959,0.7700000000000387,0.30000000000001137,0.060000000000002274,0.0,24.519999999999982,0.0,-0.009999999999990905,0.07000000000005002,0.18999999999999773,12.769999999999982,0.0,1.830000000000041,0.0,2.519999999999982,0.16999999999995907,0.5699999999999932,0.0,7.929999999999978,47.379999999999995,0.0,0.2799999999999727,0.7999999999999545,3.0100000000000193,0.0,2.730000000000018,0.03000000000002956,0.12000000000000455,0.5799999999999841,0.060000000000002274,0.009999999999990905,2.509999999999991,40.329999999999984,6.75,0.12000000000000455,5.1299999999999955,0.0,1.5399999999999636,6.610000000000014,0.14000000000010004,0.5200000000000387,0.0,2.4000000000000057,2.1100000000000136,0.0,0.05000000000006821,0.0,0.0,4.82,0.01
2021-06-14,7,0.7800000000000296,0.0,0.2599999999999909,0.9499999999999886,0.6800000000000068,0.060000000000002274,0.5,0.0,0.8300000000000409,0.0,0.0,0.0,0.7900000000000205,2.3899999999999864,0.0,6.789999999999964,5.800000000000011,0.03000000000002956,1.5,2.109999999999957,0.0,6.110000000000014,0.9499999999999886,0.0,0.060000000000002274,0.5299999999999727,7.969999999999999,0.5999999999999659,0.9300000000000637,0.0999999999999659,0.16000000000008185,0.5500000000000114,72.03999999999996,0.44000000000005457,0.05000000000001137,2.9700000000000273,5.449999999999989,1.6800000000000068,0.05000000000001137,0.009999999999990905,1.4399999999999977,0.10000000000002274,0.0,0.47999999999996135,1.9799999999999613,0.06999999999999318,0.2400000000000091,21.659999999999968,0.0,25.519999999999982,0.0,3.44,0.0
