date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,obs,mean
2016-10-10,2,0.02,1.12,0.37,0.0,2.85,0.16,0.69,0.0,0.06,2.96,0.09,0.01,0.02,1.21,0.0,0.0,0.02,0.17,0.03,0.0,4.12,0.45,0.45,0.05,1.16,0.0,0.64
2016-10-11,2,0.0,3.92,0.72,0.0,1.29,0.0,0.0,0.44,0.1,0.11,0.04,0.28,0.25,1.26,0.53,0.0,1.04,2.27,1.41,2.85,1.6,0.91,0.0,0.0,0.01,0.0,0.76
2016-10-12,2,0.01,0.2,2.69,0.0,0.74,0.0,0.0,2.4,0.39,0.0,0.02,7.17,2.32,0.54,0.61,0.0,0.33,0.03,1.62,1.53,0.32,0.0,0.0,0.47,0.0,0.0,0.86
2016-10-13,2,0.08,0.91,0.0,0.0,0.0,0.35,0.24,0.0,0.1,0.0,0.06,0.52,16.99,0.28,4.19,0.01,0.18,0.0,0.0,0.0,0.64,0.04,0.0,16.75,0.22,0.0,1.66
2016-10-14,2,0.0,0.54,0.0,0.0,0.01,1.25,1.32,0.01,0.02,0.0,2.41,0.2,3.3,0.0,0.95,0.0,0.34,0.21,0.0,0.01,0.02,0.11,0.19,1.82,0.04,0.0,0.51
2016-10-15,2,0.01,1.12,0.0,0.02,0.01,0.08,1.44,0.02,0.04,0.01,0.16,1.69,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,3.22,0.03,0.27,0.0,0.37
2016-10-16,2,0.0,0.06,0.0,0.48,5.97,0.0,1.62,0.02,0.0,0.02,0.06,0.2,0.0,0.91,0.01,0.0,0.12,1.44,0.65,0.13,1.21,0.01,0.28,0.09,1.0,1.24,0.57
2016-10-17,2,0.11,0.12,0.0,3.63,2.32,0.0,2.93,0.0,0.0,0.05,1.78,0.0,0.0,11.17,0.06,4.16,0.21,0.02,0.04,0.1,9.25,0.13,0.0,0.5,4.0,0.25,1.62
2016-10-18,2,0.0,3.26,0.04,0.3,0.06,0.89,1.25,0.46,0.38,0.02,0.37,0.09,0.0,0.89,0.11,4.6,0.09,0.39,0.21,0.0,20.85,0.53,0.0,0.8,6.43,0.01,1.68
2016-10-19,2,0.0,7.23,0.02,1.42,0.02,0.12,1.93,0.03,0.0,0.03,0.06,0.0,1.6,0.09,0.0,0.0,0.93,0.0,0.0,0.0,2.01,0.95,0.0,1.02,2.64,0.0,0.8
