date,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2017_8,318.56,197.32,363.5,316.66,151.38000000000002,325.11000000000007,152.9,226.51,84.89999999999999,330.2399999999999,275.56999999999994,162.89999999999998,430.7800000000001,168.97,229.21999999999997,314.76000000000005,228.88999999999996,473.99,282.6599999999999,375.18000000000006,311.4799999999999,225.50000000000003,416.7899999999999,150.9,371.34,246.87,385.49000000000007,191.19,249.23999999999998,346.94,304.36999999999995,428.4299999999999,85.27,422.76000000000005,182.06999999999996,162.02,113.2,166.06999999999996,373.72999999999996,369.27000000000004,220.99999999999994,167.9,120.43,293.18,135.9,348.78999999999996,232.85,177.11,140.00000000000003,300.14000000000004,88.26,257.61999999999995,254.85000000000002
2017_9,70.22,51.8,118.15,57.79000000000001,46.620000000000005,102.13999999999999,25.18000000000001,171.20999999999995,90.76000000000002,83.10999999999999,88.27,97.55999999999999,29.070000000000004,79.85000000000001,46.65,60.580000000000005,82.13,138.64000000000001,64.82,149.50000000000003,94.54000000000002,28.510000000000005,176.68999999999997,48.809999999999995,52.86,130.23000000000002,93.05999999999999,76.11999999999999,78.15,125.53,38.419999999999995,71.63,29.92,85.99000000000002,161.32999999999998,72.41,43.23,59.10999999999999,67.08,54.900000000000006,45.33,83.08,51.24000000000001,52.779999999999994,93.51,131.36999999999998,36.13999999999999,99.34,194.05,49.019999999999996,93.47000000000001,81.80999999999999,41.61
2017_10,104.65999999999998,36.809999999999995,50.17,65.33000000000001,112.37000000000002,37.65,67.06000000000002,79.63,85.31,136.30000000000004,46.81,46.17000000000001,83.43999999999997,75.38000000000001,64.67,84.97,67.9,103.14999999999999,144.4,46.98,22.330000000000002,93.76,104.03000000000002,66.54,36.41,70.66,40.42000000000001,63.92,42.88000000000001,46.91000000000001,61.430000000000014,61.69,79.32000000000002,83.72,55.350000000000016,59.78000000000001,50.75,88.05,82.72000000000003,83.74000000000001,62.709999999999994,58.24000000000001,52.68,75.22000000000001,56.59000000000001,45.43999999999999,64.67999999999998,47.51000000000001,121.57000000000001,55.519999999999996,88.36000000000001,69.86,32.300000000000004
2017_11,70.38,58.72,40.72,36.95,24.309999999999995,50.170000000000016,28.970000000000002,20.949999999999996,15.48,76.68000000000002,70.38,23.099999999999994,105.21,29.689999999999998,23.259999999999998,52.230000000000004,28.29,51.65000000000001,62.9,10.489999999999998,30.089999999999996,20.590000000000007,24.929999999999996,25.06,40.14000000000001,29.41,71.14999999999999,23.210000000000008,35.93,24.51,61.839999999999996,33.24,37.440000000000005,37.6,24.950000000000003,38.34,27.66,15.589999999999996,24.07,49.41,50.79,32.32,36.64999999999999,24.18,68.72,25.429999999999996,25.61,39.95,103.67999999999999,61.45,33.37,40.36,27.7
2017_12,15.009999999999998,6.55,14.189999999999998,10.180000000000001,12.02,5.8199999999999985,12.039999999999997,17.220000000000002,7.549999999999999,13.32,6.3999999999999995,7.97,8.589999999999998,29.299999999999997,6.71,14.97,7.85,11.589999999999998,9.949999999999996,4.949999999999998,7.389999999999998,9.639999999999997,11.179999999999996,13.279999999999998,26.21,9.399999999999997,15.79,8.799999999999997,6.5,3.37,11.73,21.129999999999995,8.779999999999998,9.809999999999999,8.81,13.209999999999999,7.34,12.849999999999998,10.31,21.31,9.289999999999997,19.06,9.689999999999998,5.329999999999997,6.199999999999999,33.58,14.539999999999997,14.08,10.059999999999999,6.6000000000000005,10.739999999999998,11.709999999999999,17.519999999999996
2018_1,16.849999999999998,39.57,10.26,6.160000000000001,14.52,13.780000000000001,14.379999999999999,6.299999999999999,12.089999999999996,33.18,7.119999999999998,20.76,5.179999999999998,14.399999999999999,10.919999999999998,9.069999999999999,8.179999999999998,14.66,23.430000000000003,19.34,18.48,31.789999999999996,25.409999999999997,12.24,8.049999999999999,17.679999999999996,17.49,6.680000000000001,13.84,24.96,27.42000000000001,27.25,12.600000000000003,16.4,9.149999999999999,17.619999999999997,16.53,19.18,5.669999999999998,5.689999999999998,4.669999999999999,3.649999999999999,7.910000000000001,3.9600000000000004,24.96,6.2700000000000005,14.910000000000004,29.740000000000002,23.750000000000004,13.099999999999998,8.1,15.21,9.969999999999999
2018_2,23.370000000000005,33.62,27.650000000000002,35.830000000000005,10.53,27.589999999999996,23.230000000000004,19.540000000000003,72.65999999999998,10.829999999999998,4.63,18.85,44.09,34.62999999999999,56.76,61.56,12.459999999999997,30.849999999999998,4.959999999999999,23.520000000000003,46.71999999999999,25.67,27.92,19.83,28.550000000000004,26.16,19.299999999999997,2.9499999999999997,34.989999999999995,43.260000000000005,4.43,10.03,85.67,26.15,17.229999999999997,13.62,4.229999999999999,18.06,24.780000000000005,15.92,14.16,20.459999999999997,32.61,20.98,33.2,17.490000000000002,60.839999999999996,33.77,34.87,39.7,3.71,27.14,27.7
2018_3,52.09,32.63,131.68000000000004,68.88,63.53,76.91000000000001,102.14000000000001,42.040000000000006,74.66000000000001,36.769999999999996,49.68000000000001,57.56000000000002,34.84,66.02000000000001,62.269999999999996,93.77999999999999,65.69,42.68,61.050000000000004,51.64000000000001,44.07000000000001,53.989999999999995,56.38,81.00999999999999,87.25,59.519999999999996,48.74,63.67999999999999,78.45,66.82000000000002,43.11,77.16999999999999,54.04,49.6,120.35999999999999,69.25,64.14999999999999,87.57000000000002,106.17999999999999,101.70000000000003,54.25000000000001,66.71000000000001,78.85,30.920000000000005,67.3,51.94,57.85,86.24999999999999,109.97999999999999,83.23000000000002,63.47000000000001,67.28,72.58
2018_4,78.13000000000001,120.85999999999999,94.55,146.25,196.44999999999996,145.11,98.11000000000001,171.57000000000002,99.72,90.73999999999998,78.33999999999999,136.90000000000003,123.56000000000003,63.38999999999999,86.24999999999999,84.16,104.17999999999999,75.04,126.54000000000002,99.41000000000003,196.36000000000004,80.74000000000002,160.55,121.62000000000002,121.72,157.09,77.35000000000002,78.91000000000001,111.57999999999998,132.78,68.23,210.05,74.99000000000001,181.96,126.63000000000002,65.98999999999998,90.42999999999999,188.09,102.46,165.54999999999998,145.91,121.90999999999998,74.43,48.89000000000001,105.35000000000001,107.33,205.05999999999997,92.62000000000002,69.91,110.13,100.79,115.95000000000002,133.98000000000002
2018_5,122.47999999999999,37.29,79.72,126.65000000000002,75.61,43.20000000000001,70.13,47.650000000000006,55.900000000000006,93.64,52.370000000000005,49.38,99.80000000000001,78.4,68.25000000000003,92.33999999999999,51.690000000000005,34.65,80.27,48.22000000000001,103.10000000000001,128.43000000000004,44.050000000000004,134.44,23.659999999999997,160.84000000000006,99.88999999999999,104.83000000000001,73.87000000000002,56.449999999999996,106.08000000000001,70.74,82.24000000000001,124.19,57.70000000000001,39.1,121.12000000000003,177.8,129.36,63.300000000000026,77.02999999999999,88.11,84.66999999999999,82.53999999999999,42.199999999999996,51.3,49.00000000000001,55.629999999999995,60.56999999999999,149.68000000000004,100.5,81.35999999999999,184.16000000000003
