catchment,date,month,leadtime,CRPS
A,2019_1,1,3,56.095
A,2019_2,2,3,81.885
A,2019_3,3,3,95.229
A,2019_4,4,3,88.05
A,2019_5,5,3,85.007
A,2019_6,6,3,113.295
A,2019_7,7,3,43.554
A,2019_8,8,3,39.065
A,2019_9,9,3,25.383
A,2019_10,10,3,76.651
A,2019_11,11,3,12.002
A,2019_12,12,3,11.375
A,2020_1,1,3,47.338
A,2020_2,2,3,102.799
A,2020_3,3,3,91.848
A,2020_4,4,3,48.162
A,2020_5,5,3,32.443
A,2020_6,6,3,194.982
A,2020_7,7,3,391.602
A,2020_8,8,3,150.405
A,2020_9,9,3,37.991
A,2020_10,10,3,42.055
A,2020_11,11,3,37.419
A,2020_12,12,3,70.71
A,2011_1,1,4,23.617
A,2011_2,2,4,48.314
A,2011_3,3,4,264.05
A,2011_4,4,4,671.826
A,2011_5,5,4,700.173
A,2011_6,6,4,642.709
A,2011_7,7,4,506.283
A,2011_8,8,4,68.613
A,2011_9,9,4,34.51
A,2011_10,10,4,22.544
A,2011_11,11,4,108.765
A,2011_12,12,4,80.485
A,2012_1,1,4,24.676
A,2012_2,2,4,23.653
A,2012_3,3,4,47.459
A,2012_4,4,4,51.114
A,2012_5,5,4,203.339
A,2012_6,6,4,204.249
A,2012_7,7,4,201.911
A,2012_8,8,4,80.446
A,2012_9,9,4,38.918
A,2012_10,10,4,12.205
A,2012_11,11,4,14.688
A,2012_12,12,4,26.234
A,2013_1,1,4,38.232
A,2013_2,2,4,47.26
A,2013_3,3,4,35.903
A,2013_4,4,4,161.326
A,2013_5,5,4,59.1
A,2013_6,6,4,74.178
A,2013_7,7,4,63.464
A,2013_8,8,4,46.461
A,2013_9,9,4,16.259
A,2013_10,10,4,78.809
A,2013_11,11,4,31.08
A,2013_12,12,4,73.244
A,2014_1,1,4,114.854
A,2014_2,2,4,118.725
A,2014_3,3,4,140.571
A,2014_4,4,4,163.216
A,2014_5,5,4,50.638
A,2014_6,6,4,67.195
A,2014_7,7,4,46.309
A,2014_8,8,4,33.227
A,2014_9,9,4,25.189
A,2014_10,10,4,15.927
A,2014_11,11,4,66.988
A,2014_12,12,4,97.702
A,2015_1,1,4,87.259
A,2015_2,2,4,128.639
A,2015_3,3,4,96.093
A,2015_4,4,4,177.952
A,2015_5,5,4,178.993
A,2015_6,6,4,257.247
A,2015_7,7,4,96.222
A,2015_8,8,4,65.348
A,2015_9,9,4,48.098
A,2015_10,10,4,19.232
A,2015_11,11,4,46.364
A,2015_12,12,4,103.098
A,2016_1,1,4,73.369
A,2016_2,2,4,37.992
A,2016_3,3,4,115.2
A,2016_4,4,4,53.034
A,2016_5,5,4,49.665
A,2016_6,6,4,58.324
A,2016_7,7,4,52.396
A,2016_8,8,4,91.235
A,2016_9,9,4,19.001
A,2016_10,10,4,16.877
A,2016_11,11,4,23.264
A,2016_12,12,4,67.558
A,2017_1,1,4,81.332
A,2017_2,2,4,103.696
A,2017_3,3,4,120.419
A,2017_4,4,4,41.725
A,2017_5,5,4,69.878
A,2017_6,6,4,57.099
A,2017_7,7,4,52.124
A,2017_8,8,4,81.178
A,2017_9,9,4,69.263
A,2017_10,10,4,90.799
A,2017_11,11,4,71.413
A,2017_12,12,4,39.657
A,2018_1,1,4,17.903
A,2018_2,2,4,115.263
A,2018_3,3,4,28.157
A,2018_4,4,4,51.529
A,2018_5,5,4,99.549
A,2018_6,6,4,107.394
A,2018_7,7,4,214.279
A,2018_8,8,4,218.289
A,2018_9,9,4,53.897
A,2018_10,10,4,16.485
A,2018_11,11,4,31.685
A,2018_12,12,4,71.504
A,2019_1,1,4,83.59
A,2019_2,2,4,155.898
A,2019_3,3,4,113.915
A,2019_4,4,4,144.892
A,2019_5,5,4,117.549
A,2019_6,6,4,91.206
A,2019_7,7,4,46.796
A,2019_8,8,4,44.057
A,2019_9,9,4,26.169
A,2019_10,10,4,55.654
A,2019_11,11,4,13.81
A,2019_12,12,4,43.303
A,2020_1,1,4,98.641
A,2020_2,2,4,89.77
A,2020_3,3,4,119.148
A,2020_4,4,4,35.559
A,2020_5,5,4,215.246
A,2020_6,6,4,255.117
A,2020_7,7,4,334.381
A,2020_8,8,4,144.044
A,2020_9,9,4,53.415
A,2020_10,10,4,78.758
A,2020_11,11,4,78.251
A,2020_12,12,4,47.789
A,2011_1,1,5,55.127
A,2011_2,2,5,243.374
A,2011_3,3,5,602.805
A,2011_4,4,5,754.901
A,2011_5,5,5,701.193
A,2011_6,6,5,629.325
A,2011_7,7,5,509.71
A,2011_8,8,5,53.086
A,2011_9,9,5,49.669
A,2011_10,10,5,59.734
A,2011_11,11,5,120.446
A,2011_12,12,5,44.456
A,2012_1,1,5,52.75
A,2012_2,2,5,49.718
A,2012_3,3,5,35.175
A,2012_4,4,5,114.289
A,2012_5,5,5,223.37
A,2012_6,6,5,188.184
A,2012_7,7,5,189.91
A,2012_8,8,5,78.744
A,2012_9,9,5,29.742
A,2012_10,10,5,19.824
A,2012_11,11,5,36.562
A,2012_12,12,5,38.473
A,2013_1,1,5,31.455
A,2013_2,2,5,88.39
A,2013_3,3,5,112.412
A,2013_4,4,5,95.353
A,2013_5,5,5,71.497
A,2013_6,6,5,60.871
A,2013_7,7,5,67.513
A,2013_8,8,5,59.445
A,2013_9,9,5,10.379
A,2013_10,10,5,95.302
A,2013_11,11,5,69.55
A,2013_12,12,5,109.624
A,2014_1,1,5,156.384
A,2014_2,2,5,152.804
A,2014_3,3,5,215.657
A,2014_4,4,5,72.549
A,2014_5,5,5,51.206
A,2014_6,6,5,57.367
A,2014_7,7,5,41.447
A,2014_8,8,5,22.801
A,2014_9,9,5,17.453
A,2014_10,10,5,16.457
A,2014_11,11,5,115.97
A,2014_12,12,5,106.242
A,2015_1,1,5,168.558
A,2015_2,2,5,170.853
A,2015_3,3,5,97.517
A,2015_4,4,5,257.134
A,2015_5,5,5,271.287
A,2015_6,6,5,257.021
A,2015_7,7,5,69.921
A,2015_8,8,5,92.821
A,2015_9,9,5,99.774
A,2015_10,10,5,25.57
A,2015_11,11,5,88.584
A,2015_12,12,5,89.57
A,2016_1,1,5,83.572
A,2016_2,2,5,79.112
A,2016_3,3,5,35.275
A,2016_4,4,5,43.358
A,2016_5,5,5,75.669
A,2016_6,6,5,55.587
A,2016_7,7,5,57.299
A,2016_8,8,5,75.03
A,2016_9,9,5,28.917
A,2016_10,10,5,36.429
A,2016_11,11,5,61.107
A,2016_12,12,5,83.264
A,2017_1,1,5,139.658
A,2017_2,2,5,153.481
A,2017_3,3,5,42.643
A,2017_4,4,5,80.57
A,2017_5,5,5,37.925
A,2017_6,6,5,51.223
A,2017_7,7,5,45.429
A,2017_8,8,5,95.59
A,2017_9,9,5,94.803
A,2017_10,10,5,109.901
A,2017_11,11,5,84.031
A,2017_12,12,5,20.672
A,2018_1,1,5,54.583
A,2018_2,2,5,50.236
A,2018_3,3,5,49.292
A,2018_4,4,5,141.448
A,2018_5,5,5,134.234
A,2018_6,6,5,157.993
A,2018_7,7,5,219.759
A,2018_8,8,5,210.926
A,2018_9,9,5,34.005
A,2018_10,10,5,22.829
A,2018_11,11,5,62.379
A,2018_12,12,5,105.722
A,2019_1,1,5,153.551
A,2019_2,2,5,191.276
A,2019_3,3,5,180.432
A,2019_4,4,5,198.743
A,2019_5,5,5,87.982
A,2019_6,6,5,72.605
A,2019_7,7,5,51.069
A,2019_8,8,5,41.118
A,2019_9,9,5,28.097
A,2019_10,10,5,64.415
A,2019_11,11,5,38.135
A,2019_12,12,5,87.545
A,2020_1,1,5,88.207
A,2020_2,2,5,121.031
A,2020_3,3,5,75.753
A,2020_4,4,5,183.428
A,2020_5,5,5,260.448
A,2020_6,6,5,213.744
A,2020_7,7,5,329.898
A,2020_8,8,5,120.379
A,2020_9,9,5,75.509
A,2020_10,10,5,122.471
A,2020_11,11,5,55.228
A,2020_12,12,5,38.036
A,2011_1,1,6,266.458
A,2011_2,2,6,580.318
A,2011_3,3,6,664.002
A,2011_4,4,6,728.028
A,2011_5,5,6,697.35
A,2011_6,6,6,652.703
A,2011_7,7,6,488.623
A,2011_8,8,6,41.796
A,2011_9,9,6,75.686
A,2011_10,10,6,75.565
A,2011_11,11,6,75.439
A,2011_12,12,6,70.172
A,2012_1,1,6,123.302
A,2012_2,2,6,36.264
A,2012_3,3,6,111.963
A,2012_4,4,6,142.574
A,2012_5,5,6,229.51
A,2012_6,6,6,189.95
A,2012_7,7,6,184.109
A,2012_8,8,6,71.433
A,2012_9,9,6,29.106
A,2012_10,10,6,28.263
A,2012_11,11,6,64.284
A,2012_12,12,6,23.633
A,2013_1,1,6,40.14
A,2013_2,2,6,58.7
A,2013_3,3,6,82.532
A,2013_4,4,6,60.76
A,2013_5,5,6,63.772
A,2013_6,6,6,62.285
A,2013_7,7,6,62.449
A,2013_8,8,6,82.829
A,2013_9,9,6,22.19
A,2013_10,10,6,145.316
A,2013_11,11,6,102.204
A,2013_12,12,6,155.61
A,2014_1,1,6,219.552
A,2014_2,2,6,290.219
A,2014_3,3,6,164.921
A,2014_4,4,6,46.928
A,2014_5,5,6,47.525
A,2014_6,6,6,61.932
A,2014_7,7,6,39.677
A,2014_8,8,6,21.143
A,2014_9,9,6,29.541
A,2014_10,10,6,47.119
A,2014_11,11,6,146.146
A,2014_12,12,6,166.155
A,2015_1,1,6,208.932
A,2015_2,2,6,228.347
A,2015_3,3,6,161.362
A,2015_4,4,6,325.008
A,2015_5,5,6,286.431
A,2015_6,6,6,201.249
A,2015_7,7,6,86.125
A,2015_8,8,6,140.341
A,2015_9,9,6,96.122
A,2015_10,10,6,70.703
A,2015_11,11,6,100.992
A,2015_12,12,6,108.941
A,2016_1,1,6,132.425
A,2016_2,2,6,33.649
A,2016_3,3,6,82.387
A,2016_4,4,6,64.504
A,2016_5,5,6,53.016
A,2016_6,6,6,58.605
A,2016_7,7,6,55.786
A,2016_8,8,6,99.616
A,2016_9,9,6,36.454
A,2016_10,10,6,84.757
A,2016_11,11,6,79.945
A,2016_12,12,6,147.403
A,2017_1,1,6,192.085
A,2017_2,2,6,35.965
A,2017_3,3,6,48.841
A,2017_4,4,6,57.938
A,2017_5,5,6,40.071
A,2017_6,6,6,50.939
A,2017_7,7,6,42.137
