catchment,date,month,leadtime,CRPS
A,2016_4,4,3,47.737
A,2016_5,5,3,44.24
A,2016_6,6,3,44.526
A,2016_7,7,3,68.611
A,2016_8,8,3,72.951
A,2016_9,9,3,15.823
A,2016_10,10,3,25.456
A,2016_11,11,3,10.754
A,2016_12,12,3,9.262
A,2017_1,1,3,20.656
A,2017_2,2,3,21.665
A,2017_3,3,3,47.918
A,2017_4,4,3,64.079
A,2017_5,5,3,79.313
A,2017_6,6,3,107.213
A,2017_7,7,3,43.755
A,2017_8,8,3,82.408
A,2017_9,9,3,31.328
A,2017_10,10,3,24.097
A,2017_11,11,3,14.515
A,2017_12,12,3,7.876
A,2018_1,1,3,10.809
A,2018_2,2,3,64.67
A,2018_3,3,3,136.386
A,2018_4,4,3,67.118
A,2018_5,5,3,46.577
A,2018_6,6,3,80.068
A,2018_7,7,3,132.194
A,2018_8,8,3,209.51
A,2018_9,9,3,80.695
A,2018_10,10,3,54.905
A,2018_11,11,3,7.475
A,2018_12,12,3,9.905
A,2019_1,1,3,14.27
A,2019_2,2,3,36.419
A,2019_3,3,3,54.727
A,2019_4,4,3,43.818
A,2019_5,5,3,70.203
A,2019_6,6,3,128.061
A,2019_7,7,3,47.203
A,2019_8,8,3,40.328
A,2019_9,9,3,35.202
A,2019_10,10,3,16.944
A,2019_11,11,3,46.935
A,2019_12,12,3,34.464
A,2020_1,1,3,10.864
A,2020_2,2,3,61.46
A,2020_3,3,3,46.449
A,2020_4,4,3,15.962
A,2020_5,5,3,33.647
A,2020_6,6,3,174.033
A,2020_7,7,3,348.33
A,2020_8,8,3,121.29
A,2020_9,9,3,22.158
A,2020_10,10,3,16.158
A,2020_11,11,3,11.241
A,2020_12,12,3,35.194
A,2011_1,1,4,58.057
A,2011_2,2,4,110.573
A,2011_3,3,4,370.347
A,2011_4,4,4,713.252
A,2011_5,5,4,723.94
A,2011_6,6,4,655.089
A,2011_7,7,4,484.004
A,2011_8,8,4,61.155
A,2011_9,9,4,23.838
A,2011_10,10,4,12.253
A,2011_11,11,4,47.644
A,2011_12,12,4,18.135
A,2012_1,1,4,14.719
A,2012_2,2,4,14.304
A,2012_3,3,4,20.239
A,2012_4,4,4,58.26
A,2012_5,5,4,212.877
A,2012_6,6,4,202.111
A,2012_7,7,4,177.041
A,2012_8,8,4,83.058
A,2012_9,9,4,63.736
A,2012_10,10,4,41.262
A,2012_11,11,4,26.855
A,2012_12,12,4,23.681
A,2013_1,1,4,9.558
A,2013_2,2,4,14.182
A,2013_3,3,4,25.952
A,2013_4,4,4,198.745
A,2013_5,5,4,55.912
A,2013_6,6,4,82.374
A,2013_7,7,4,50.481
A,2013_8,8,4,41.03
A,2013_9,9,4,44.011
A,2013_10,10,4,26.02
A,2013_11,11,4,10.127
A,2013_12,12,4,18.016
A,2014_1,1,4,60.877
A,2014_2,2,4,61.06
A,2014_3,3,4,67.717
A,2014_4,4,4,125.491
A,2014_5,5,4,47.891
A,2014_6,6,4,72.131
A,2014_7,7,4,43.776
A,2014_8,8,4,27.45
A,2014_9,9,4,61.101
A,2014_10,10,4,49.942
A,2014_11,11,4,19.82
A,2014_12,12,4,37.138
A,2015_1,1,4,40.492
A,2015_2,2,4,71.597
A,2015_3,3,4,47.373
A,2015_4,4,4,137.353
A,2015_5,5,4,172.884
A,2015_6,6,4,265.859
A,2015_7,7,4,113.236
A,2015_8,8,4,59.904
A,2015_9,9,4,16.167
A,2015_10,10,4,29.53
A,2015_11,11,4,13.715
A,2015_12,12,4,27.774
A,2016_1,1,4,24.95
A,2016_2,2,4,13.566
A,2016_3,3,4,45.228
A,2016_4,4,4,74.242
A,2016_5,5,4,43.069
A,2016_6,6,4,65.147
A,2016_7,7,4,56.955
A,2016_8,8,4,88.953
A,2016_9,9,4,22.164
A,2016_10,10,4,18.565
A,2016_11,11,4,8.708
A,2016_12,12,4,10.965
A,2017_1,1,4,38.575
A,2017_2,2,4,54.307
A,2017_3,3,4,60.128
A,2017_4,4,4,58.196
A,2017_5,5,4,72.532
A,2017_6,6,4,56.246
A,2017_7,7,4,45.043
A,2017_8,8,4,87.813
A,2017_9,9,4,33.391
A,2017_10,10,4,38.277
A,2017_11,11,4,23.396
A,2017_12,12,4,10.489
A,2018_1,1,4,39.34
A,2018_2,2,4,179.365
A,2018_3,3,4,81.208
A,2018_4,4,4,73.018
A,2018_5,5,4,107.917
A,2018_6,6,4,111.15
A,2018_7,7,4,187.193
A,2018_8,8,4,221.952
A,2018_9,9,4,91.141
A,2018_10,10,4,33.02
A,2018_11,11,4,7.914
A,2018_12,12,4,12.802
A,2019_1,1,4,34.49
A,2019_2,2,4,84.329
A,2019_3,3,4,50.543
A,2019_4,4,4,112.851
A,2019_5,5,4,126.449
A,2019_6,6,4,100.55
A,2019_7,7,4,47.994
A,2019_8,8,4,43.997
A,2019_9,9,4,28.626
A,2019_10,10,4,11.566
A,2019_11,11,4,57.624
A,2019_12,12,4,11.451
A,2020_1,1,4,35.458
A,2020_2,2,4,34.082
A,2020_3,3,4,48.869
A,2020_4,4,4,28.36
A,2020_5,5,4,223.24
A,2020_6,6,4,240.493
A,2020_7,7,4,306.285
A,2020_8,8,4,122.287
A,2020_9,9,4,25.498
A,2020_10,10,4,34.225
A,2020_11,11,4,33.099
A,2020_12,12,4,11.043
A,2011_1,1,5,115.5
A,2011_2,2,5,365.53
A,2011_3,3,5,681.948
A,2011_4,4,5,759.1
A,2011_5,5,5,736.606
A,2011_6,6,5,655.649
A,2011_7,7,5,497.337
A,2011_8,8,5,59.686
A,2011_9,9,5,27.975
A,2011_10,10,5,12.065
A,2011_11,11,5,36.169
A,2011_12,12,5,8.302
A,2012_1,1,5,12.408
A,2012_2,2,5,19.152
A,2012_3,3,5,61.626
A,2012_4,4,5,128.731
A,2012_5,5,5,238.463
A,2012_6,6,5,200.427
A,2012_7,7,5,175.323
A,2012_8,8,5,97.265
A,2012_9,9,5,61.568
A,2012_10,10,5,39.748
A,2012_11,11,5,18.173
A,2012_12,12,5,15.385
A,2013_1,1,5,16.476
A,2013_2,2,5,17.632
A,2013_3,3,5,157.584
A,2013_4,4,5,101.557
A,2013_5,5,5,68.941
A,2013_6,6,5,67.241
A,2013_7,7,5,56.796
A,2013_8,8,5,38.96
A,2013_9,9,5,37.358
A,2013_10,10,5,30.901
A,2013_11,11,5,10.592
A,2013_12,12,5,43.714
A,2014_1,1,5,82.698
A,2014_2,2,5,64.635
A,2014_3,3,5,160.384
A,2014_4,4,5,67.517
A,2014_5,5,5,45.439
A,2014_6,6,5,58.115
A,2014_7,7,5,42.233
A,2014_8,8,5,26.895
A,2014_9,9,5,47.444
A,2014_10,10,5,30.412
A,2014_11,11,5,43.478
A,2014_12,12,5,42.139
A,2015_1,1,5,91.74
A,2015_2,2,5,83.064
A,2015_3,3,5,54.088
A,2015_4,4,5,249.522
A,2015_5,5,5,260.03
A,2015_6,6,5,254.054
A,2015_7,7,5,75.744
A,2015_8,8,5,60.392
A,2015_9,9,5,23.036
A,2015_10,10,5,34.161
A,2015_11,11,5,15.073
A,2015_12,12,5,25.976
A,2016_1,1,5,23.549
A,2016_2,2,5,23.677
A,2016_3,3,5,43.435
A,2016_4,4,5,47.568
A,2016_5,5,5,64.575
A,2016_6,6,5,60.559
A,2016_7,7,5,63.022
A,2016_8,8,5,62.645
A,2016_9,9,5,19.932
A,2016_10,10,5,12.885
A,2016_11,11,5,10.5
A,2016_12,12,5,24.787
A,2017_1,1,5,76.521
A,2017_2,2,5,72.006
A,2017_3,3,5,58.099
A,2017_4,4,5,82.917
A,2017_5,5,5,43.648
A,2017_6,6,5,52.865
A,2017_7,7,5,45.574
A,2017_8,8,5,90.196
A,2017_9,9,5,44.281
A,2017_10,10,5,42.086
A,2017_11,11,5,16.882
A,2017_12,12,5,30.645
A,2018_1,1,5,125.821
A,2018_2,2,5,122.999
A,2018_3,3,5,85.514
A,2018_4,4,5,154.476
A,2018_5,5,5,157.718
A,2018_6,6,5,167.562
A,2018_7,7,5,199.191
A,2018_8,8,5,233.267
A,2018_9,9,5,69.085
A,2018_10,10,5,32.116
A,2018_11,11,5,9.744
A,2018_12,12,5,31.779
A,2019_1,1,5,78.207
A,2019_2,2,5,88.704
A,2019_3,3,5,129.228
A,2019_4,4,5,193.103
A,2019_5,5,5,89.682
A,2019_6,6,5,74.679
A,2019_7,7,5,50.782
A,2019_8,8,5,41.842
A,2019_9,9,5,45.821
A,2019_10,10,5,14.713
A,2019_11,11,5,24.276
A,2019_12,12,5,17.959
A,2020_1,1,5,19.758
A,2020_2,2,5,42.22
A,2020_3,3,5,45.253
A,2020_4,4,5,181.7
A,2020_5,5,5,282.004
A,2020_6,6,5,208.512
A,2020_7,7,5,309.321
A,2020_8,8,5,113.961
A,2020_9,9,5,30.014
A,2020_10,10,5,61.806
A,2020_11,11,5,10.577
A,2020_12,12,5,13.325
A,2011_1,1,6,386.033
A,2011_2,2,6,673.431
A,2011_3,3,6,699.671
A,2011_4,4,6,748.763
A,2011_5,5,6,744.758
A,2011_6,6,6,684.183
A,2011_7,7,6,496.429
A,2011_8,8,6,53.174
A,2011_9,9,6,32.777
A,2011_10,10,6,12.022
A,2011_11,11,6,17.238
A,2011_12,12,6,12.862
A,2012_1,1,6,28.694
A,2012_2,2,6,60.872
A,2012_3,3,6,140.964
A,2012_4,4,6,164.277
A,2012_5,5,6,253.396
A,2012_6,6,6,210.17
A,2012_7,7,6,193.233
A,2012_8,8,6,99.262
A,2012_9,9,6,60.315
A,2012_10,10,6,38.9
