catchment,date,month,leadtime,CRPS,CRPS_ref,CRPSS,count
A,2013_8,8,2,26.15,115.512,0.774,1.0
A,2013_9,9,2,25.48,35.15,0.275,1.0
A,2013_10,10,2,29.184,9.7,-2.009,0.0
A,2013_11,11,2,7.204,20.142,0.642,1.0
A,2013_12,12,2,24.984,4.748,-4.262,0.0
A,2014_1,1,2,33.388,4.795,-5.963,0.0
A,2014_2,2,2,45.401,9.331,-3.866,0.0
A,2014_3,3,2,43.926,11.981,-2.666,0.0
A,2014_4,4,2,41.953,38.936,-0.077,0.0
A,2014_5,5,2,67.256,80.394,0.163,1.0
A,2014_6,6,2,118.217,178.763,0.339,1.0
A,2014_7,7,2,35.839,139.269,0.743,1.0
A,2014_8,8,2,23.632,78.699,0.7,1.0
A,2014_9,9,2,64.406,55.485,-0.161,0.0
A,2014_10,10,2,48.957,55.301,0.115,1.0
A,2014_11,11,2,16.374,5.804,-1.821,0.0
A,2014_12,12,2,27.773,3.525,-6.879,0.0
A,2015_1,1,2,38.689,4.495,-7.607,0.0
A,2015_2,2,2,50.784,8.956,-4.67,0.0
A,2015_3,3,2,26.468,10.532,-1.513,0.0
A,2015_4,4,2,92.328,31.978,-1.887,0.0
A,2015_5,5,2,71.294,81.398,0.124,1.0
A,2015_6,6,2,117.647,113.394,-0.038,0.0
A,2015_7,7,2,40.157,219.785,0.817,1.0
A,2015_8,8,2,97.789,190.115,0.486,1.0
A,2015_9,9,2,53.126,49.94,-0.064,0.0
A,2015_10,10,2,38.1,79.23,0.519,1.0
A,2015_11,11,2,17.11,91.604,0.813,1.0
A,2015_12,12,2,48.219,3.597,-12.405,0.0
A,2016_1,1,2,19.923,10.311,-0.932,0.0
A,2016_2,2,2,15.028,14.947,-0.005,0.0
A,2016_3,3,2,39.158,16.992,-1.304,0.0
A,2016_4,4,2,26.075,17.615,-0.48,0.0
A,2016_5,5,2,124.447,84.536,-0.472,0.0
A,2016_6,6,2,53.021,33.846,-0.567,0.0
A,2016_7,7,2,39.235,56.605,0.307,1.0
A,2016_8,8,2,86.372,158.658,0.456,1.0
A,2016_9,9,2,18.103,35.143,0.485,1.0
A,2016_10,10,2,15.212,16.076,0.054,1.0
A,2016_11,11,2,6.445,19.731,0.673,1.0
A,2016_12,12,2,9.106,28.747,0.683,1.0
A,2017_1,1,2,19.444,4.667,-3.166,0.0
A,2017_2,2,2,39.724,8.569,-3.636,0.0
A,2017_3,3,2,23.11,12.081,-0.913,0.0
A,2017_4,4,2,63.089,39.176,-0.61,0.0
A,2017_5,5,2,93.651,104.078,0.1,1.0
A,2017_6,6,2,84.806,56.723,-0.495,0.0
A,2017_7,7,2,116.677,65.791,-0.773,0.0
A,2017_8,8,2,58.377,99.688,0.414,1.0
A,2017_9,9,2,36.927,64.026,0.423,1.0
A,2017_10,10,2,42.457,11.241,-2.777,0.0
A,2017_11,11,2,20.524,7.463,-1.75,0.0
A,2017_12,12,2,18.03,3.525,-4.115,0.0
A,2018_1,1,2,12.538,4.718,-1.657,0.0
A,2018_2,2,2,8.197,28.913,0.716,1.0
A,2018_3,3,2,12.904,77.327,0.833,1.0
A,2018_4,4,2,80.886,121.317,0.333,1.0
A,2018_5,5,2,28.544,25.995,-0.098,0.0
A,2018_6,6,2,26.819,77.934,0.656,1.0
A,2018_7,7,2,114.456,53.389,-1.144,0.0
A,2018_8,8,2,157.728,70.133,-1.249,0.0
A,2018_9,9,2,53.156,70.958,0.251,1.0
A,2018_10,10,2,26.384,79.337,0.667,1.0
A,2018_11,11,2,7.979,34.554,0.769,1.0
A,2018_12,12,2,38.542,3.949,-8.76,0.0
A,2019_1,1,2,31.953,5.021,-5.364,0.0
A,2019_2,2,2,49.99,19.252,-1.597,0.0
A,2019_3,3,2,27.001,10.591,-1.549,0.0
A,2019_4,4,2,53.195,45.47,-0.17,0.0
A,2019_5,5,2,32.007,91.088,0.649,1.0
A,2019_6,6,2,64.991,108.843,0.403,1.0
A,2019_7,7,2,30.223,193.12,0.844,1.0
A,2019_8,8,2,36.305,97.813,0.629,1.0
A,2019_9,9,2,22.305,61.298,0.636,1.0
A,2019_10,10,2,38.002,61.488,0.382,1.0
A,2019_11,11,2,10.495,29.306,0.642,1.0
A,2019_12,12,2,7.767,44.169,0.824,1.0
A,2020_1,1,2,16.508,75.947,0.783,1.0
A,2020_2,2,2,39.432,15.818,-1.493,0.0
A,2020_3,3,2,104.229,29.716,-2.508,0.0
A,2020_4,4,2,15.443,16.971,0.09,1.0
A,2020_5,5,2,33.515,24.967,-0.342,0.0
A,2020_6,6,2,38.112,47.047,0.19,1.0
A,2020_7,7,2,339.669,114.178,-1.975,0.0
A,2020_8,8,2,203.263,170.34,-0.193,0.0
A,2020_9,9,2,38.392,47.448,0.191,1.0
A,2020_10,10,2,15.89,16.891,0.059,1.0
A,2020_11,11,2,16.105,6.739,-1.39,0.0
A,2020_12,12,2,31.775,14.337,-1.216,0.0
A,2011_1,1,3,21.039,10.508,-1.002,0.0
A,2011_2,2,3,25.792,92.159,0.72,1.0
A,2011_3,3,3,64.048,94.229,0.32,1.0
A,2011_4,4,3,338.125,355.532,0.049,1.0
A,2011_5,5,3,576.453,472.992,-0.219,0.0
A,2011_6,6,3,715.03,411.001,-0.74,0.0
A,2011_7,7,3,504.934,129.354,-2.904,0.0
A,2011_8,8,3,53.771,69.825,0.23,1.0
A,2011_9,9,3,30.955,46.373,0.332,1.0
A,2011_10,10,3,12.576,23.906,0.474,1.0
A,2011_11,11,3,63.155,17.349,-2.64,0.0
A,2011_12,12,3,80.772,11.72,-5.892,0.0
A,2012_1,1,3,49.376,10.536,-3.686,0.0
A,2012_2,2,3,10.296,46.407,0.778,1.0
A,2012_3,3,3,15.905,25.019,0.364,1.0
