date,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2019_3,77.95,148.88,94.54,84.09000000000002,46.91,60.39,60.18000000000001,71.2,102.78,37.76,33.85999999999999,37.19,49.98,70.98,127.99,54.74,61.76,119.3,55.95,37.66,37.31,84.64,109.55,38.45,75.48,149.73,66.51,55.7,72.34,72.52,32.18,91.91,25.31,62.21,57.83,40.48,40.97,41.97,30.659999999999997,71.02,34.42,52.84,68.63,82.39,55.43,36.74,20.84,21.320000000000004,34.36,91.70999999999998,58.92,63.690000000000005,47.349999999999994
2019_4,113.91000000000001,90.79,38.51,41.77,132.39,62.2,68.14,32.45,61.07,9.06,99.85,65.15,64.53,87.59,40.44,20.06,60.64,69.37,44.65,34.51,26.29,72.36000000000001,122.41,61.0,82.19,43.86,95.21,54.18,52.49,111.72,76.3,61.940000000000005,45.55,123.22,48.59,126.41,110.42,28.79,91.07,60.11,98.09,114.90000000000002,41.63,84.59,16.87,55.67,120.30000000000001,68.90000000000002,39.8,87.9,58.58,68.97999999999999,59.71999999999999
2019_5,122.45,67.28,79.77000000000001,103.59,64.57,54.76,43.550000000000004,112.54,49.12,85.75,74.24,56.34,75.16000000000001,47.07,44.07,103.07,27.68,78.78,38.36999999999999,28.27,27.770000000000003,67.76,26.019999999999996,44.88,109.01,37.72,67.56,88.65,113.37,104.25,81.57,28.940000000000005,122.80000000000001,112.75000000000001,47.88,80.02000000000001,66.50000000000001,201.8,33.77,69.15,42.49999999999999,74.29,37.67,17.6,73.48,61.38,19.76,89.06,62.64,58.65,26.06,67.66,22.720000000000002
2019_6,92.75000000000001,191.32,240.2,153.59,246.28,123.68,111.01,115.77,105.61,207.39,173.94999999999996,214.81,172.07,100.55,81.56,133.6,192.35,163.8,99.88,183.95,137.9,229.82,208.24,145.82,268.89,93.31,326.45,145.36,117.56,72.04,89.16,139.05,184.44,286.37,173.68,158.04,131.97000000000003,153.3,36.61,16.57,188.32,104.99,32.42,72.66,187.77,105.64,50.74,255.79,103.19,297.36,147.32999999999998,152.26,90.45
2019_7,208.89,303.35,104.05,201.27,195.62,151.34,207.23,224.94,167.33,90.12,321.74,58.230000000000004,64.79,250.21,127.77,51.27,128.53,83.26,198.95,82.08,261.46,455.44,264.47,59.12,119.57,159.95,106.41,108.04,267.81,315.81,159.43,95.6,242.13,101.5,100.52,103.83,305.66,132.09,102.86,174.89,329.25,95.75,213.09,122.37,138.94,221.33,250.87,111.65,220.48,95.84000000000002,124.28,172.15000000000006,177.99999999999997
2019_8,74.66,82.95,112.09,83.9,223.08,38.96,56.02,119.47,236.75,177.97,116.4,302.6,84.48,191.92,342.15,110.53,281.46,144.15,111.83,92.99,146.28,138.2,77.8,148.77,110.39,233.27,199.86,242.89,77.28,104.32,124.35000000000001,77.76,63.66,172.99,251.5,61.62,155.29,181.61,310.21,140.13,208.66,311.2,92.55,172.78,119.8,179.47,202.00000000000003,87.19,176.37,113.42,149.95,153.23999999999998,126.07
2019_9,241.47,224.08,164.63,246.55,382.58,329.99999999999994,252.0,127.8,213.01,185.88,148.42,162.78,270.79,331.86,188.28,121.60000000000001,327.79,294.54,250.53,329.21,270.15,182.08,112.9,151.36,129.58,275.75,142.27,272.27,230.08,238.1,184.76,116.9,162.28,149.96,210.22,121.49,271.76,178.39,187.11000000000004,141.84,267.99,181.5,140.39,197.93,221.2,252.41,332.63,159.51,162.09,149.34,177.62,211.07000000000005,178.83
2019_10,140.74,212.03,109.42,224.44,136.37,228.34,140.0,141.67,183.55,168.76,198.88,169.32,140.35,180.75,151.24,152.89,187.26,298.44000000000005,163.21,218.89,195.14,199.09,113.34000000000002,149.81,196.95,115.44,137.24,203.63,142.34,207.26,142.09,187.17,139.86,228.34,172.42,115.94999999999999,232.94000000000003,234.43,182.49,151.78,265.77,144.69,186.62,122.1,173.36,117.31,222.97,166.96,165.8,189.55,220.50999999999996,175.85999999999999,87.44000000000003
2019_11,58.75,21.46,31.4,21.45,30.0,69.92,21.26,21.96,33.11,26.08,16.8,34.66,30.1,20.39,25.95,47.89000000000001,46.03,50.16,37.09,32.02,25.05,42.43,28.07,46.06,31.13,39.73,81.93,36.19,15.930000000000001,49.16,18.35,46.15,74.99,21.21,44.83,51.800000000000004,66.75,64.63,84.92000000000002,42.42,46.88000000000001,30.829999999999995,29.39,14.220000000000002,36.12,40.8,65.06,42.73,36.9,58.03,37.23,39.73,69.34
2019_12,18.59,22.5,18.22,35.96,21.51,41.72,34.8,19.02,88.75,13.61,32.93,24.09,38.62,17.71,30.78,8.03,31.28,44.03,17.97,39.45,26.66,26.14,18.12,54.45,40.62,34.99,68.08,56.47,67.58,37.06,11.36,16.82,33.36,17.0,35.45,23.05,37.67,39.99,17.44,14.42,80.3,22.34,23.8,26.07,36.05,62.84,88.10000000000001,36.92,30.23,38.31,47.8,34.7,13.279999999999998
